primary_type,domestic,counts
ARSON,False,11442
ARSON,True,492
ASSAULT,False,289729
ASSAULT,True,124520
BATTERY,False,541592
BATTERY,True,595236
BURGLARY,False,400815
BURGLARY,True,4279
CONCEALED CARRY LICENSE VIOLATION,False,43
CONCEALED CARRY LICENSE VIOLATION,True,1
CRIM SEXUAL ASSAULT,False,18861
CRIM SEXUAL ASSAULT,True,4103
CRIMINAL DAMAGE,False,758695
CRIMINAL DAMAGE,True,90072
CRIMINAL SEXUAL ASSAULT,False,6021
CRIMINAL SEXUAL ASSAULT,True,1759
CRIMINAL TRESPASS,False,59519
CRIMINAL TRESPASS,True,6891
DECEPTIVE PRACTICE,False,307732
DECEPTIVE PRACTICE,True,5501
GAMBLING,False,95
GAMBLING,True,11
HOMICIDE,False,6629
HOMICIDE,True,49
HUMAN TRAFFICKING,False,81
HUMAN TRAFFICKING,True,13
INTERFERENCE WITH PUBLIC OFFICER,False,1509
INTERFERENCE WITH PUBLIC OFFICER,True,31
INTIMIDATION,False,3474
INTIMIDATION,True,639
KIDNAPPING,False,4295
KIDNAPPING,True,2243
LIQUOR LAW VIOLATION,False,129
LIQUOR LAW VIOLATION,True,2
MOTOR VEHICLE THEFT,False,361539
MOTOR VEHICLE THEFT,True,2776
NARCOTICS,False,4245
NARCOTICS,True,231
NON-CRIMINAL,False,170
OBSCENITY,False,144
OBSCENITY,True,51
OFFENSE INVOLVING CHILDREN,False,11666
OFFENSE INVOLVING CHILDREN,True,34359
OTHER NARCOTIC VIOLATION,False,47
OTHER NARCOTIC VIOLATION,True,1
PROSTITUTION,False,273
PROSTITUTION,True,10
PUBLIC INDECENCY,False,3
PUBLIC PEACE VIOLATION,False,17607
PUBLIC PEACE VIOLATION,True,2071
RITUALISM,False,15
RITUALISM,True,6
ROBBERY,False,267184
ROBBERY,True,5577
SEX OFFENSE,False,19105
SEX OFFENSE,True,4314
STALKING,False,2059
STALKING,True,2456
THEFT,False,1443249
THEFT,True,55582
