location_description,district,counts
ABANDONED BUILDING,7,1961
AIRCRAFT,16,654
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,16,961
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,16,538
AIRPORT EXTERIOR - NON-SECURE AREA,16,832
AIRPORT EXTERIOR - SECURE AREA,16,364
AIRPORT PARKING LOT,16,820
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,16,2158
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,16,735
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,16,86
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,16,965
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,16,2106
AIRPORT TRANSPORTATION SYSTEM (ATS),16,122
AIRPORT VENDING ESTABLISHMENT,16,884
AIRPORT/AIRCRAFT,16,10515
ALLEY,11,17281
ANIMAL HOSPITAL,18,65
APARTMENT,3,93984
APPLIANCE STORE,6,288
ATHLETIC CLUB,1,1832
ATM (AUTOMATIC TELLER MACHINE),18,1335
AUTO,11,133
AUTO / BOAT / RV DEALERSHIP,8,247
BANK,1,4287
BANQUET HALL,25,1
BAR OR TAVERN,18,13954
BARBER SHOP/BEAUTY SALON,11,5
BARBERSHOP,6,789
BASEMENT,11,4
BEACH,3,1
BOAT / WATERCRAFT,1,42
BOAT/WATERCRAFT,1,189
BOWLING ALLEY,18,183
BRIDGE,1,97
CAR WASH,25,309
CASINO/GAMBLING ESTABLISHMENT,18,1
CEMETARY,16,112
CHA APARTMENT,2,6943
CHA BREEZEWAY,2,2
CHA ELEVATOR,18,1
CHA GROUNDS,1,10
CHA HALLWAY,18,12
CHA HALLWAY / STAIRWELL / ELEVATOR,2,95
CHA HALLWAY/STAIRWELL/ELEVATOR,1,6577
CHA LOBBY,18,3
CHA PARKING LOT,5,18
CHA PARKING LOT / GROUNDS,12,377
CHA PARKING LOT/GROUNDS,2,13946
CHA PLAY LOT,5,2
CHA STAIRWELL,2,3
CHURCH,11,3
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,5,139
CHURCH PROPERTY,6,1
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7,1227
CLEANERS/LAUNDROMAT,15,1
CLEANING STORE,19,411
CLUB,18,3
COACH HOUSE,10,1
COIN OPERATED MACHINE,24,115
COLLEGE / UNIVERSITY - GROUNDS,1,49
COLLEGE / UNIVERSITY - RESIDENCE HALL,1,24
COLLEGE/UNIVERSITY GROUNDS,1,1526
COLLEGE/UNIVERSITY RESIDENCE HALL,18,405
COMMERCIAL / BUSINESS OFFICE,1,12486
CONSTRUCTION SITE,12,2003
CONVENIENCE STORE,1,2377
COUNTY JAIL,10,2
CREDIT UNION,1,110
"CTA ""L"" PLATFORM",1,4
"CTA ""L"" TRAIN",9,3
CTA BUS,6,2559
CTA BUS STOP,6,830
CTA GARAGE / OTHER PROPERTY,8,1482
CTA PARKING LOT / GARAGE / OTHER PROPERTY,8,118
CTA PLATFORM,1,9810
CTA PROPERTY,7,2
CTA STATION,1,1583
CTA SUBWAY STATION,24,1
CTA TRACKS - RIGHT OF WAY,1,38
CTA TRAIN,1,7662
CURRENCY EXCHANGE,6,1080
DAY CARE CENTER,8,319
DELIVERY TRUCK,12,118
DEPARTMENT STORE,1,22628
DRIVEWAY,4,6
DRIVEWAY - RESIDENTIAL,8,2655
DRUG STORE,25,2779
DUMPSTER,7,4
ELEVATOR,24,1
EXPRESSWAY EMBANKMENT,12,1
FACTORY,25,1
FACTORY / MANUFACTURING BUILDING,9,82
FACTORY/MANUFACTURING BUILDING,9,860
FARM,12,3
FEDERAL BUILDING,1,400
FIRE STATION,2,96
FOREST PRESERVE,16,92
FUNERAL PARLOR,25,1
GANGWAY,8,9
GARAGE,8,12
GARAGE/AUTO REPAIR,10,6
GAS STATION,6,9565
GAS STATION DRIVE/PROP.,11,11
GOVERNMENT BUILDING,1,2
GOVERNMENT BUILDING / PROPERTY,16,584
GOVERNMENT BUILDING/PROPERTY,1,3075
GROCERY FOOD STORE,19,8239
HALLWAY,3,11
HIGHWAY / EXPRESSWAY,12,21
HIGHWAY/EXPRESSWAY,4,126
HORSE STABLE,10,2
HOSPITAL,1,4
HOSPITAL BUILDING / GROUNDS,18,948
HOSPITAL BUILDING/GROUNDS,12,3634
HOTEL,18,7
HOTEL / MOTEL,18,1478
HOTEL/MOTEL,18,9723
HOUSE,5,81
JAIL / LOCK-UP FACILITY,12,271
JUNK YARD/GARBAGE DUMP,4,1
KENNEL,19,5
LAGOON,9,1
LAKE,19,2
LAKEFRONT / WATERFRONT / RIVERBANK,18,72
LAKEFRONT/WATERFRONT/RIVERBANK,18,365
LAUNDRY ROOM,24,1
LIBRARY,1,1803
LIQUOR STORE,20,2
LIVERY AUTO,4,1
LIVERY STAND OFFICE,11,1
LOADING DOCK,24,1
MEDICAL / DENTAL OFFICE,19,126
MEDICAL/DENTAL OFFICE,19,651
MOTEL,6,4
MOVIE HOUSE / THEATER,1,63
MOVIE HOUSE/THEATER,18,638
NEWSSTAND,1,48
NURSING / RETIREMENT HOME,20,371
NURSING HOME,15,1
NURSING HOME/RETIREMENT HOME,20,1844
OFFICE,1,5
OTHER,1,20331
OTHER (SPECIFY),1,1339
OTHER COMMERCIAL TRANSPORTATION,1,1529
OTHER RAILROAD PROP / TRAIN DEPOT,1,1664
OTHER RAILROAD PROPERTY / TRAIN DEPOT,1,125
PARK PROPERTY,1,5751
PARKING LOT,6,27
PARKING LOT / GARAGE (NON RESIDENTIAL),1,3488
PARKING LOT/GARAGE(NON.RESID.),8,20388
PAWN SHOP,9,89
POLICE FACILITY,22,1
POLICE FACILITY / VEHICLE PARKING LOT,11,1188
POLICE FACILITY/VEH PARKING LOT,11,3927
POOL ROOM,16,66
POOLROOM,11,1
PORCH,7,67
PRAIRIE,5,1
PUBLIC GRAMMAR SCHOOL,10,1
PUBLIC HIGH SCHOOL,25,1
RAILROAD PROPERTY,11,4
RESIDENCE,8,103413
RESIDENCE - GARAGE,8,1105
RESIDENCE - PORCH / HALLWAY,19,960
RESIDENCE - YARD (FRONT / BACK),11,852
RESIDENCE PORCH/HALLWAY,3,9614
RESIDENCE-GARAGE,8,22042
RESIDENTIAL YARD (FRONT/BACK),8,6714
RESTAURANT,1,24246
RETAIL STORE,7,11
RIVER,9,1
RIVER BANK,18,2
ROOF,24,1
ROOMING HOUSE,24,1
SAVINGS AND LOAN,25,34
